Year,Citations,With Code
2016,8,False
2016,7,False
2016,3,False
2016,31,False
2016,9,False
2016,3,False
2016,11,False
2016,0,False
2016,10,False
2016,1,False
2016,3,False
2016,4,False
2016,6,False
2016,2,False
2016,14,False
2016,1,False
2016,7,False
2016,0,False
2016,4,False
2016,7,False
2016,22,False
2016,19,False
2016,3,False
2016,8,False
2016,2,False
2016,9,False
2016,306,False
2016,71,False
2016,3,False
2016,15,False
2016,0,False
2016,40,False
2016,1,False
2016,12,False
2016,6,False
2016,0,False
2016,6,False
2016,14,False
2016,5,False
2016,1,False
2016,18,False
2016,4,False
2016,4,False
2016,2,False
2016,22,False
2016,4,False
2016,18,False
2016,20,False
2016,2,False
2016,12,False
2016,10,False
2016,6,False
2016,3,False
2016,3,False
2016,2,False
2016,3,False
2016,2,False
2016,2,False
2016,2,False
2016,6,False
2016,2,False
2016,8,False
2016,3,False
2016,12,False
2016,3,False
2016,4,False
2016,0,False
2016,0,False
2016,10,False
2016,1,True
2016,24,False
2016,2,False
2016,4,False
2016,2,False
2016,1,False
2016,5,False
2016,1,False
2016,22,False
2016,11,False
2016,4,False
2016,3,False
2016,2,True
2016,6,False
2016,7,False
2016,3,False
2016,15,False
2016,4,False
2016,20,False
2016,0,False
2016,17,False
2016,2,False
2016,7,False
2016,3,False
2016,4,False
2016,4,False
2016,6,False
2016,11,False
2016,7,False
2016,16,False
2016,3,False
2016,0,False
2016,3,False
2016,7,False
2016,1,False
2016,8,False
2016,4,False
2016,4,False
2016,7,False
2016,6,False
2016,13,False
2016,9,False
2016,11,False
2016,9,False
2016,4,False
2016,30,False
2016,4,False
2016,23,False
2016,29,False
2016,2,False
2016,3,False
2016,4,False
2016,16,False
2016,2,False
2016,2,False
2016,5,False
2016,4,False
2016,29,False
2016,7,False
2016,4,False
2016,6,False
2016,22,False
2016,3,False
2016,59,False
2016,3,False
2016,6,False
2016,0,False
2016,2,False
2016,13,False
2016,9,False
2016,4,False
2016,5,False
2016,7,False
2016,19,False
2016,8,False
2016,12,False
2016,8,False
2016,1,False
2016,5,False
2016,10,False
2016,2,False
2016,11,False
2016,4,False
2016,4,False
2016,6,False
2016,5,False
2016,7,False
2016,5,False
2016,3,False
2016,24,False
2016,3,False
2016,3,False
2016,6,False
2016,80,False
2016,27,False
2016,18,False
2016,4,False
2016,11,False
2016,1,False
2016,2,False
2016,21,False
2016,3,False
2016,1,False
2016,4,False
2016,14,False
2016,1,False
2016,5,False
2016,14,False
2016,6,False
2016,6,False
2016,5,False
2016,16,False
2016,3,False
2016,9,False
2016,4,False
2016,32,False
2016,3,False
2016,6,False
2016,0,False
2016,5,False
2016,0,False
2016,29,False
2016,2,False
2016,2,False
2016,11,False
2016,2,False
2016,6,False
2016,6,False
2016,1,False
2016,7,False
2016,8,False
2016,0,False
2016,20,False
2016,3,False
2016,2,False
2016,8,False
2016,7,False
2016,2,False
2016,20,False
2016,57,False
2016,2,False
2016,1,False
2016,5,False
2016,3,False
2016,14,False
2016,3,False
2016,2,False
2016,15,False
2016,22,False
2016,3,False
2016,8,False
2016,7,False
2016,4,False
2016,2,False
2016,0,False
2016,1,False
2016,3,False
2016,5,False
2016,0,False
2016,1,False
2016,6,False
2016,3,False
2016,5,False
2016,0,False
2016,19,False
2016,3,False
2016,6,False
2016,6,False
2016,4,False
2016,3,False
2016,2,False
2016,8,False
2016,11,False
2016,9,False
2016,15,False
2016,3,False
2016,3,False
2016,7,False
2016,9,False
2016,6,False
2016,1,False
2016,8,False
2016,0,False
2016,20,False
2016,9,False
2016,10,False
2016,2,False
2016,0,False
2016,4,False
2016,0,False
2016,10,False
2016,3,False
2016,6,False
2016,4,False
2016,3,False
2016,7,False
2016,0,False
2016,0,False
2016,3,False
2016,9,False
2016,5,False
2016,40,False
2016,5,False
2016,2,False
2016,4,False
2016,6,False
2016,13,False
2016,8,False
2016,24,False
2016,9,False
2016,1,False
2016,2,False
2016,11,False
2016,9,False
2016,9,False
2016,2,False
2016,4,False
2016,11,False
2016,15,False
2016,14,False
2016,15,False
2016,5,False
2016,19,False
2016,2,False
2016,17,False
2016,18,False
2016,0,False
2016,27,False
2016,1,False
2016,12,False
2016,9,False
2016,0,False
2016,11,False
2016,1,False
2016,13,False
2016,3,False
2016,1,False
2016,1,False
2016,15,False
2016,1,False
2016,2,False
2016,7,False
2016,11,False
2016,16,False
2016,11,False
2016,61,False
2016,10,False
2016,0,False
2016,11,False
2016,1,False
2016,2,False
2016,0,False
2016,1,False
2016,4,False
2016,1,False
2016,0,False
2016,1,False
2016,5,False
2016,15,False
2016,6,False
2016,11,False
2016,5,False
2016,0,False
2016,1,False
2016,4,False
2016,3,False
2016,0,False
2016,3,False
2016,5,False
2016,1,False
2016,6,False
2016,12,False
2016,3,False
2016,12,False
2016,2,False
2016,10,False
2016,13,False
2016,3,False
2016,9,False
2016,14,False
2016,4,False
2016,1,False
2016,2,False
2016,19,False
2016,19,False
2016,3,False
2016,10,False
2016,8,False
2016,17,False
2016,15,False
2016,2,False
2016,10,False
2016,26,False
2016,3,False
2016,2,False
2016,8,False
2016,5,False
2016,1,False
2016,20,False
2016,4,False
2016,5,False
2016,5,False
2016,1,False
2016,6,True
2016,6,False
2016,3,False
2016,2,False
2016,1,False
2016,4,False
2016,1,False
2016,7,False
2016,8,False
2016,1,False
2016,12,False
2016,10,False
2016,33,False
2016,5,False
2016,26,False
2016,9,False
2016,2,False
2016,6,False
2016,10,False
2016,12,False
2016,10,False
2016,14,False
2016,1,False
2016,11,False
2016,2,False
2016,6,False
2016,2,False
2016,0,False
2016,7,False
2016,4,False
2016,3,False
2016,5,False
2016,3,False
2016,0,False
2016,3,False
2016,11,True
2016,17,False
2016,0,False
2016,37,False
2016,2,False
2016,6,False
2016,2,False
2016,37,False
2016,12,False
2016,2,False
2016,2,False
2016,14,False
2016,2,False
2016,24,False
2016,0,False
2016,7,False
2016,22,False
2016,78,False
2016,5,False
2016,3,False
2016,2,False
2016,15,False
2016,4,False
2016,31,False
2016,33,False
2016,48,False
2016,9,False
2016,3,False
2016,9,False
2016,4,False
